Country,Agricultural Land( %),Land Area(Km2),Armed Forces size,Calling Code,Fertility Rate,Forested Area (%),GDP,Life expectancy,Unemployment rate,Population,Official language,Currency-Code,Capital/Major City
Bangladesh,70.60%,148460,221000,880,2.04,11.00%,"$302,571,254,131 ",72.3,4.19%,167310838,Bengali,BDT,Dhaka
Barbados,23.30%,430,1000,1,1.62,14.70%,"$5,209,000,000 ",79.1,10.33%,287025,English,BBD,Bridgetown
Belarus,42.00%,207600,155000,375,1.45,42.60%,"$63,080,457,023 ",74.2,4.59%,9466856,Russian,BYN,Minsk
Belgium,44.60%,30528,32000,32,1.62,22.60%,"$529,606,710,418 ",81.6,5.59%,11484055,French,EUR,City of Brussels
Belize,7.00%,22966,2000,501,2.31,59.70%,"$1,879,613,600 ",74.5,6.41%,390353,English,BZD,Belmopan
Benin,33.30%,112622,12000,229,4.84,37.80%,"$14,390,709,095 ",61.5,2.23%,11801151,French,XOF,Porto-Novo
Bhutan,13.60%,38394,6000,975,1.98,72.50%,"$2,446,674,101 ",71.5,2.34%,727145,Dzongkha,,Thimphu
Bolivia,34.80%,1098581,71000,591,2.73,50.30%,"$40,895,322,865 ",71.2,3.50%,11513100,Spanish,BOB,Sucre
Bosnia and Herzegovina,43.10%,51197,11000,387,1.27,42.70%,"$20,047,848,435 ",77.3,18.42%,3301000,Bosnian,BAM,Sarajevo
Botswana,45.60%,581730,9000,267,2.87,18.90%,"$18,340,510,789 ",69.3,18.19%,2346179,English,BWP,Gaborone
Brazil,33.90%,8515770,730000,55,1.73,58.90%,"$1,839,758,040,766 ",75.7,12.08%,212559417,Portuguese,BRL,Brasilia
Brunei,2.70%,5765,8000,673,1.85,72.10%,"$13,469,422,941 ",75.7,9.12%,433285,Malay,BND,Bandar Seri Begawan
Bulgaria,46.30%,110879,31000,359,1.56,35.40%,"$86,000,000,000 ",74.9,4.34%,6975761,Bulgarian,BGN,Sofia
Burkina Faso,44.20%,274200,11000,226,5.19,19.30%,"$15,745,810,235 ",61.2,6.26%,20321378,French,XOF,Ouagadougou
Burundi,79.20%,27830,31000,257,5.41,10.90%,"$3,012,334,882 ",61.2,1.43%,11530580,Kirundi,BIF,Bujumbura
Ivory Coast,64.80%,322463,27000,225,4.65,32.70%,"$58,792,205,642 ",57.4,3.32%,25716544,French,XOF,Yamoussoukro
Cape Verde,19.60%,4033,1000,238,2.27,22.50%,"$1,981,845,741 ",72.8,12.25%,483628,Portuguese,CVE,Praia
Cambodia,30.90%,181035,191000,855,2.5,52.90%,"$27,089,389,787 ",69.6,0.68%,16486542,Khmer language,,Phnom Penh
Cameroon,20.60%,475440,24000,237,4.57,39.30%,"$38,760,467,033 ",58.9,3.38%,25876380,French,XAF,Yaoundè
Canada,6.90%,9984670,72000,1,1.5,38.20%,"$1,736,425,629,520 ",81.9,5.56%,36991981,French,CAD,Ottawa
Central African Republic,8.20%,622984,8000,236,4.72,35.60%,"$2,220,307,369 ",52.8,3.68%,4745185,French,,Bangui
Chad,39.70%,1284000,35000,235,5.75,3.80%,"$11,314,951,343 ",54,1.89%,15946876,French,XAF,N'Djamena
Chile,21.20%,756096,122000,56,1.65,24.30%,"$282,318,159,745 ",80,7.09%,18952038,Spanish,CLP,Santiago
China,56.20%,9596960,2695000,86,1.69,22.40%,"$19,910,000,000,000 ",77,4.32%,1397715000,Standard Chinese,CNY,Beijing
Colombia,40.30%,1138910,481000,57,1.81,52.70%,"$323,802,808,108 ",77.1,9.71%,50339443,Spanish,COP,Bogotà
Comoros,71.50%,2235,,269,4.21,19.70%,"$1,185,728,677 ",64.1,4.34%,850886,French,KMF,"Moroni, Comoros"
Republic of the Congo,31.10%,342000,12000,242,4.43,65.40%,"$10,820,591,131 ",64.3,9.47%,5380508,French,XAF,Brazzaville
Costa Rica,34.50%,51100,10000,506,1.75,54.60%,"$61,773,944,174 ",80.1,11.85%,5047561,Spanish,CRC,San Josè
Croatia,27.60%,56594,18000,385,1.47,34.40%,"$60,415,553,039 ",78.1,6.93%,4067500,Croatian,HRK,Zagreb
Cuba,59.90%,110860,76000,53,1.62,31.30%,"$100,023,000,000 ",78.7,1.64%,11333483,Spanish,CUP,Havana
Cyprus,12.20%,9251,16000,357,1.33,18.70%,"$24,564,647,935 ",80.8,7.27%,1198575,Greek,EUR,Nicosia
Czech Republic,45.20%,78867,23000,420,1.69,34.60%,"$246,489,245,495 ",79,1.93%,10669709,Czech,CZK,Prague
Democratic Republic of the Congo,11.60%,2344858,134000,243,5.92,67.20%,"$47,319,624,204 ",60.4,4.24%,86790567,French,CDF,Kinshasa
Denmark,62.00%,43094,15000,45,1.73,14.70%,"$348,078,018,464 ",81,4.91%,5818553,Danish,DKK,Copenhagen
Djibouti,73.40%,23200,13000,253,2.73,0.20%,"$3,318,716,359 ",66.6,10.30%,973560,French,DJF,Djibouti City
Dominica,33.30%,751,,1,1.9,57.40%,"$596,033,333 ",76.6,,71808,English,XCD,Roseau
Dominican Republic,48.70%,48670,71000,1,2.35,41.70%,"$88,941,298,258 ",73.9,5.84%,10738958,Spanish,DOP,Santo Domingo
Ecuador,22.20%,283561,41000,593,2.43,50.20%,"$107,435,665,000 ",76.8,3.97%,17373662,Spanish,USD,Quito
Egypt,3.80%,1001450,836000,20,3.33,0.10%,"$303,175,127,598 ",71.8,10.76%,100388073,Modern Standard Arabic,EGP,Cairo
El Salvador,76.40%,21041,42000,503,2.04,12.60%,"$27,022,640,000 ",73.1,4.11%,6453553,Spanish,,San Salvador
Equatorial Guinea,10.10%,28051,1000,240,4.51,55.50%,"$11,026,774,945 ",58.4,6.43%,1355986,Spanish,XAF,Malabo
Eritrea,75.20%,117600,202000,291,4.06,14.90%,"$2,065,001,626 ",65.9,5.14%,6333135,Tigrinya,ERN,Asmara
Estonia,23.10%,45228,6000,372,1.59,51.30%,"$31,386,949,981 ",78.2,5.11%,1331824,Estonian,EUR,Tallinn
Eswatini,,17364,,268,,,"$3,791,304,348 ",,,1093238,English,,Mbabane
Ethiopia,36.30%,1104300,138000,251,4.25,12.50%,"$96,107,662,398 ",66.2,2.08%,112078730,Amharic,ETB,Addis Ababa
Fiji,23.30%,18274,4000,679,2.77,55.90%,"$5,535,548,972 ",67.3,4.10%,889953,Fiji Hindi,FJD,Suva
Finland,7.50%,338145,25000,358,1.41,73.10%,"$268,761,201,365 ",81.7,6.59%,5520314,Swedish,EUR,Helsinki
France,52.40%,643801,307000,33,1.88,31.20%,"$2,715,518,274,227 ",82.5,8.43%,67059887,French,EUR,Paris
Gabon,20.00%,267667,7000,241,3.97,90.00%,"$16,657,960,228 ",66.2,20.00%,2172579,French,XAF,Libreville
The Gambia,59.80%,11300,1000,220,5.22,48.40%,"$1,763,819,048 ",61.7,9.06%,2347706,English,GMD,Banjul
Georgia,34.50%,69700,26000,995,2.06,40.60%,"$17,743,195,770 ",73.6,14.40%,3720382,Georgian,GEL,Tbilisi
Germany,47.70%,357022,180000,49,1.56,32.70%,"$3,845,630,030,824 ",80.9,3.04%,83132799,German,EUR,Berlin
Ghana,69.00%,238533,16000,233,3.87,41.20%,"$66,983,634,224 ",63.8,4.33%,30792608,English,GHS,Accra
Greece,47.60%,131957,146000,30,1.35,31.70%,"$209,852,761,469 ",81.3,17.24%,10716322,Greek,EUR,Athens
Grenada,23.50%,349,,1,2.06,50.00%,"$1,228,170,370 ",72.4,,112003,English,XCD,"St. George's, Grenada"
Guatemala,36.00%,108889,43000,502,2.87,32.70%,"$76,710,385,880 ",74.1,2.46%,16604026,Spanish,GTQ,Guatemala City
Guinea,59.00%,245857,13000,224,4.7,25.80%,"$13,590,281,809 ",61.2,4.30%,12771246,French,GNF,Conakry
Guinea-Bissau,58.00%,36125,4000,245,4.48,69.80%,"$1,340,389,411 ",58,2.47%,1920922,Portuguese,XOF,Bissau
Guyana,8.60%,214969,3000,592,2.46,83.90%,"$4,280,443,645 ",69.8,11.85%,782766,English,GYD,"Georgetown, Guyana"
Haiti,66.80%,27750,0,509,2.94,3.50%,"$8,498,981,821 ",63.7,13.78%,11263077,French,HTG,Port-au-Prince
Vatican City,,0,,379,,,,,,836,Italian,EUR,Vatican City
Honduras,28.90%,112090,23000,504,2.46,40.00%,"$25,095,395,475 ",75.1,5.39%,9746117,Spanish,HNL,Tegucigalpa
Hungary,58.40%,93028,40000,36,1.54,22.90%,"$160,967,157,504 ",75.8,3.40%,9769949,Hungarian,HUF,Budapest
Iceland,18.70%,103000,0,354,1.71,0.50%,"$24,188,035,739 ",82.7,2.84%,361313,Icelandic,ISK,Reykjavik
India,60.40%,3287263,3031000,91,2.22,23.80%,"$2,611,000,000,000 ",69.4,5.36%,1366417754,Hindi,INR,New Delhi
Indonesia,31.50%,1904569,676000,62,2.31,49.90%,"$1,119,190,780,753 ",71.5,4.69%,270203917,Indonesian,IDR,Jakarta
Iran,28.20%,1648195,563000,98,2.14,6.60%,"$445,345,282,123 ",76.5,11.38%,82913906,Persian,IRR,Tehran
Iraq,21.40%,438317,209000,964,3.67,1.90%,"$234,094,042,939 ",70.5,12.82%,39309783,Arabic,IQD,Baghdad
Republic of Ireland,64.50%,70273,9000,353,1.75,11.00%,"$388,698,711,348 ",82.3,4.93%,5007069,Irish,EUR,Dublin
Israel,24.60%,20770,178000,972,3.09,7.70%,"$395,098,666,122 ",82.8,3.86%,9053300,Hebrew,ILS,Jerusalem
Italy,43.20%,301340,347000,39,1.29,31.80%,"$2,001,244,392,042 ",82.9,9.89%,60297396,Italian,EUR,Rome
Jamaica,41.00%,10991,4000,1876,1.98,30.90%,"$16,458,071,068 ",74.4,8.00%,2948279,Jamaican English,JMD,"Kingston, Jamaica"
Japan,12.30%,377944,261000,81,1.42,68.50%,"$5,081,769,542,380 ",84.2,2.29%,126226568,None,,Tokyo
Jordan,12.00%,89342,116000,962,2.76,1.10%,"$43,743,661,972 ",74.4,14.72%,10101694,Arabic,JOD,Amman
Kazakhstan,80.40%,2724900,71000,7,2.84,1.20%,"$180,161,741,180 ",73.2,4.59%,18513930,Russian,KZT,Astana
Kenya,48.50%,580367,29000,254,3.49,7.80%,"$95,503,088,538 ",66.3,2.64%,52573973,Swahili,KES,Nairobi
Kiribati,42.00%,811,,686,3.57,15.00%,"$194,647,202 ",68.1,,117606,English,AUD,South Tarawa
Kuwait,8.40%,17818,25000,965,2.08,0.40%,"$134,761,198,946 ",75.4,2.18%,4207083,Modern Standard Arabic,KWD,Kuwait City
Kyrgyzstan,55.00%,199951,21000,996,3.3,3.30%,"$8,454,619,608 ",71.4,6.33%,6456900,Russian,KGS,Bishkek
Laos,10.30%,236800,129000,856,2.67,82.10%,"$18,173,839,128 ",67.6,0.63%,7169455,Lao,LAK,Vientiane
Latvia,31.10%,64589,6000,371,1.6,54.00%,"$34,117,202,555 ",74.7,6.52%,1912789,Latvian,EUR,Riga
Lebanon,64.30%,10400,80000,961,2.09,13.40%,"$53,367,042,272 ",78.9,6.23%,6855713,Arabic,LBP,Beirut
Lesotho,77.60%,30355,2000,266,3.14,1.60%,"$2,460,072,444 ",53.7,23.41%,2125268,English,,Maseru
Liberia,28.00%,111369,2000,231,4.32,43.10%,"$3,070,518,100 ",63.7,2.81%,4937374,English,,Monrovia
Libya,8.70%,1759540,0,218,2.24,0.10%,"$52,076,250,948 ",72.7,18.56%,6777452,Arabic,LYD,
Liechtenstein,32.20%,160,,423,1.44,43.10%,"$6,552,858,739 ",83,,38019,German,CHF,Vaduz
Lithuania,47.20%,65300,34000,370,1.63,34.80%,"$54,219,315,600 ",75.7,6.35%,2786844,Lithuanian,EUR,Vilnius
Luxembourg,53.70%,2586,2000,352,1.37,35.70%,"$71,104,919,108 ",82.1,5.36%,645397,Luxembourgish,EUR,Luxembourg City
Madagascar,71.20%,587041,22000,261,4.08,21.40%,"$14,083,906,357 ",66.7,1.76%,26969307,French,MGA,Antananarivo
Malawi,61.40%,118484,15000,265,4.21,33.20%,"$7,666,704,427 ",63.8,5.65%,18628747,English,MWK,Lilongwe
Malaysia,26.30%,329847,136000,60,2,67.60%,"$364,701,517,788 ",76,3.32%,32447385,Malaysian language,MYR,Kuala Lumpur
Maldives,26.30%,298,5000,960,1.87,3.30%,"$5,729,248,472 ",78.6,6.14%,530953,Divehi,,Malè
Mali,33.80%,1240192,18000,223,5.88,3.80%,"$17,510,141,171 ",58.9,7.22%,19658031,French,XOF,Bamako
Malta,32.40%,316,2000,356,1.23,1.10%,"$14,786,156,563 ",82.3,3.47%,502653,Maltese,EUR,Valletta
Marshall Islands,63.90%,181,,692,4.05,70.20%,"$221,278,000 ",65.2,,58791,Marshallese,USD,Majuro
Mauritania,38.50%,1030700,21000,222,4.56,0.20%,"$7,593,752,450 ",64.7,9.55%,4525696,Arabic,MRU,Nouakchott
Mauritius,42.40%,2040,3000,230,1.41,19.00%,"$14,180,444,557 ",74.4,6.67%,1265711,French,MUR,Port Louis
Mexico,54.60%,1964375,336000,52,2.13,33.90%,"$1,258,286,717,125 ",75,3.42%,126014024,None,MXN,Mexico City
Federated States of Micronesia,31.40%,702,,691,3.05,91.90%,"$401,932,279 ",67.8,,113815,English,USD,Palikir
Moldova,74.20%,33851,7000,373,1.26,12.60%,"$11,955,435,457 ",71.8,5.47%,2657637,Romanian,MDL,Chisinau
Monaco,,2,,377,,,"$7,184,844,193 ",,,38964,French,EUR,Monaco City
Mongolia,71.50%,1564116,18000,976,2.9,8.00%,"$13,852,850,259 ",69.7,6.01%,3225167,Mongolian,MNT,Ulaanbaatar
Montenegro,19.00%,13812,12000,382,1.75,61.50%,"$5,494,736,901 ",76.8,14.88%,622137,Montenegrin language,EUR,Podgorica
Morocco,68.50%,446550,246000,212,2.42,12.60%,"$118,725,279,596 ",76.5,9.02%,36910560,Arabic,MAD,Rabat
Mozambique,63.50%,799380,11000,258,4.85,48.00%,"$14,934,159,926 ",60.2,3.24%,30366036,Portuguese,MZN,Maputo
Myanmar,19.50%,676578,513000,95,2.15,43.60%,"$76,085,852,617 ",66.9,1.58%,54045420,Burmese,MMK,Naypyidaw
Namibia,47.10%,824292,16000,264,3.4,8.30%,"$12,366,527,719 ",63.4,20.27%,2494530,English,,Windhoek
Nauru,,21,,674,,,"$133,000,000 ",,,10084,English,AUD,Yaren District
Nepal,28.70%,147181,112000,977,1.92,25.40%,"$30,641,380,604 ",70.5,1.41%,28608710,Nepali,NPR,Kathmandu
Netherlands,53.30%,41543,41000,31,1.59,11.20%,"$909,070,395,161 ",81.8,3.20%,17332850,Dutch,,Amsterdam
New Zealand,40.50%,268838,9000,64,1.71,38.60%,"$206,928,765,544 ",81.9,4.07%,4841000,English,NZD,Wellington
Nicaragua,42.10%,130370,12000,505,2.4,25.90%,"$12,520,915,291 ",74.3,6.84%,6545502,Spanish,NIO,Managua
Niger,36.10%,1267000,10000,227,6.91,0.90%,"$12,928,145,120 ",62,0.47%,23310715,French,XOF,Niamey
Nigeria,77.70%,923768,215000,234,5.39,7.20%,"$448,120,428,859 ",54.3,8.10%,200963599,English,NGN,Abuja
North Korea,21.80%,120538,1469000,850,1.9,40.70%,"$32,100,000,000 ",72.1,2.74%,25666161,Korean,KPW,Pyongyang
North Macedonia,,25713,,389,,,"$10,220,781,069 ",,,1836713,Macedonian,MKD,Skopje
Norway,2.70%,323802,23000,47,1.56,33.20%,"$403,336,363,636 ",82.8,3.35%,5347896,Norwegian,NOK,Oslo
Oman,4.60%,309500,47000,968,2.89,0.00%,"$76,983,094,928 ",77.6,2.67%,5266535,Arabic,OMR,Muscat
Pakistan,47.80%,796095,936000,92,3.51,1.90%,"$304,400,000,000 ",67.1,4.45%,216565318,Urdu,PKR,Islamabad
Palau,10.90%,459,,680,2.21,87.60%,"$283,994,900 ",69.1,,18233,English,USD,Ngerulmud
Palestinian National Authority,,,,,,,,,,,Arabic,,
Panama,30.40%,75420,26000,507,2.46,61.90%,"$66,800,800,000 ",78.3,3.90%,4246439,Spanish,,Panama City
Papua New Guinea,2.60%,462840,4000,675,3.56,74.10%,"$24,969,611,435 ",64.3,2.46%,8776109,Tok Pisin,PGK,Port Moresby
Paraguay,55.10%,406752,27000,595,2.43,37.70%,"$38,145,288,940 ",74.1,4.81%,7044636,Spanish,PYG,Asuncion
Peru,18.50%,1285216,158000,51,2.25,57.70%,"$226,848,050,820 ",76.5,3.31%,32510453,Spanish,PEN,Lima
Philippines,41.70%,300000,153000,63,2.58,27.80%,"$376,795,508,680 ",71.1,2.15%,108116615,English,PHP,Manila
Poland,46.90%,312685,191000,48,1.46,30.90%,"$592,164,400,688 ",77.6,3.47%,37970874,Polish,PLN,Warsaw
Portugal,39.50%,92212,52000,351,1.38,34.60%,"$237,686,075,635 ",81.3,6.33%,10269417,Portuguese,EUR,Lisbon
Qatar,5.80%,11586,22000,974,1.87,0.00%,"$183,466,208,791 ",80.1,0.09%,2832067,Arabic,QAR,Doha
Romania,58.80%,238391,126000,40,1.71,30.10%,"$250,077,444,017 ",75.4,3.98%,19356544,Romanian,RON,Bucharest
Russia,13.30%,17098240,1454000,7,1.57,49.80%,"$1,699,876,578,871 ",72.7,4.59%,144373535,Russian,RUB,Moscow
Rwanda,73.40%,26338,35000,250,4.04,19.70%,"$10,122,472,590 ",68.7,1.03%,12626950,Swahili,RWF,Kigali
Saint Kitts and Nevis,23.10%,261,,1,2.11,42.30%,"$1,050,992,593 ",71.3,,52823,English,XCD,Basseterre
Saint Lucia,17.40%,616,,1,1.44,33.20%,"$2,122,450,630 ",76.1,20.71%,182790,English,XCD,Castries
Saint Vincent and the Grenadines,25.60%,389,,1,1.89,69.20%,"$825,385,185 ",72.4,18.88%,100455,English,XCD,Kingstown
Samoa,12.40%,2831,,685,3.88,60.40%,"$850,655,017 ",73.2,8.36%,202506,Samoan,WST,Apia
San Marino,16.70%,61,,378,1.26,0.00%,"$1,637,931,034 ",85.4,,33860,Italian,EUR,City of San Marino
São Tomé and Príncipe,50.70%,964,1000,239,4.32,55.80%,"$429,016,605 ",70.2,13.37%,215056,,STN,
Saudi Arabia,80.80%,2149690,252000,966,2.32,0.50%,"$792,966,838,162 ",75,5.93%,34268528,Arabic,SAR,Riyadh
Senegal,46.10%,196722,19000,221,4.63,42.80%,"$23,578,084,052 ",67.7,6.60%,16296364,French,XOF,Dakar
Serbia,39.30%,77474,32000,381,1.49,31.10%,"$51,409,167,351 ",75.5,12.69%,6944975,Serbian,RSD,Belgrade
Seychelles,3.40%,455,0,248,2.41,88.40%,"$1,698,843,063 ",72.8,,97625,French,SCR,"Victoria, Seychelles"
Sierra Leone,54.70%,71740,9000,232,4.26,43.10%,"$3,941,474,311 ",54.3,4.43%,7813215,English,SLL,Freetown
Singapore,0.90%,716,81000,65,1.14,23.10%,"$372,062,527,489 ",83.1,4.11%,5703569,Malay,SGD,
Slovakia,39.20%,49035,16000,421,1.52,40.40%,"$105,422,304,976 ",77.2,5.56%,5454073,Slovak,EUR,Bratislava
Slovenia,30.70%,20273,7000,386,1.6,62.00%,"$53,742,159,517 ",81,4.20%,2087946,Slovene language,EUR,Ljubljana
Solomon Islands,3.90%,28896,,677,4.4,77.90%,"$1,425,074,226 ",72.8,0.58%,669823,English,SBD,Honiara
Somalia,70.30%,637657,20000,252,6.07,10.00%,"$4,720,727,278 ",57.1,11.35%,15442905,Arabic,SOS,Mogadishu
South Africa,79.80%,1219090,80000,27,2.41,7.60%,"$351,431,649,241 ",63.9,28.18%,58558270,Afrikaans,ZAR,Pretoria
South Korea,17.40%,99720,634000,82,0.98,63.40%,"$2,029,000,000,000 ",82.6,4.15%,51709098,Korean,KRW,Seoul
South Sudan,,644329,185000,211,4.7,,"$11,997,800,751 ",57.6,12.24%,11062113,English,SSP,Juba
Spain,52.60%,505370,196000,34,1.26,36.90%,"$1,394,116,310,769 ",83.3,13.96%,47076781,Spanish,EUR,Madrid
Sri Lanka,43.70%,65610,317000,94,2.2,32.90%,"$84,008,783,756 ",76.8,4.20%,21803000,Tamil,LKR,Colombo
Sudan,28.70%,1861484,124000,249,4.41,8.10%,"$18,902,284,476 ",65.1,16.53%,42813238,Arabic,SDG,Khartoum
Suriname,0.60%,163820,2000,597,2.42,98.30%,"$3,985,250,737 ",71.6,7.33%,581372,Dutch,SRD,Paramaribo
Sweden,7.40%,450295,30000,46,1.76,68.90%,"$530,832,908,738 ",82.5,6.48%,10285453,Swedish,SEK,Stockholm
Switzerland,38.40%,41277,21000,41,1.52,31.80%,"$703,082,435,360 ",83.6,4.58%,8574832,German,CHF,Bern
Syria,75.80%,185180,239000,963,2.81,2.70%,"$40,405,006,007 ",71.8,8.37%,17070135,Arabic,SYP,Damascus
Tajikistan,34.10%,144100,17000,992,3.59,3.00%,"$8,116,626,794 ",70.9,11.02%,9321018,Persian,TJS,Dushanbe
Tanzania,44.80%,947300,28000,255,4.89,51.60%,"$63,177,068,175 ",65,1.98%,58005463,Swahili,TZS,Dodoma
Thailand,43.30%,513120,455000,66,1.53,32.20%,"$543,649,976,166 ",76.9,0.75%,69625582,Thai,THB,Bangkok
East Timor,25.60%,14874,2000,670,4.02,45.40%,"$1,673,540,300 ",69.3,4.55%,3500000,Portuguese,USD,Dili
Togo,70.20%,56785,10000,228,4.32,3.10%,"$5,459,979,417 ",60.8,2.04%,8082366,French,XOF,Lomè
Tonga,45.80%,747,,676,3.56,12.50%,"$450,353,314 ",70.8,1.12%,100209,Tongan Language,TOP,Nukuʻalofa
Trinidad and Tobago,10.50%,5128,4000,1,1.73,46.00%,"$24,100,202,834 ",73.4,2.69%,1394973,English,TTD,Port of Spain
Tunisia,64.80%,163610,48000,216,2.2,6.80%,"$38,797,709,924 ",76.5,16.02%,11694719,Arabic,TND,Tunis
Turkey,49.80%,783562,512000,90,2.07,15.40%,"$754,411,708,203 ",77.4,13.49%,83429615,Turkish,TRY,Ankara
Turkmenistan,72.00%,488100,42000,993,2.79,8.80%,"$40,761,142,857 ",68.1,3.91%,5942089,Turkmen,TMT,Ashgabat
Tuvalu,60.00%,26,,688,,33.30%,"$47,271,463 ",,,11646,Tuvaluan Language,AUD,Funafuti
Uganda,71.90%,241038,46000,256,4.96,9.70%,"$34,387,229,486 ",63,1.84%,44269594,Swahili,UGX,Kampala
Ukraine,71.70%,603550,297000,380,1.3,16.70%,"$153,781,069,118 ",71.6,8.88%,44385155,Ukrainian,UAH,Kyiv
United Arab Emirates,5.50%,83600,63000,971,1.41,4.60%,"$421,142,267,938 ",77.8,2.35%,9770529,Arabic,AED,Abu Dhabi
United Kingdom,71.70%,243610,148000,44,1.68,13.10%,"$2,827,113,184,696 ",81.3,3.85%,66834405,English,GBP,London
United States,44.40%,9833517,1359000,1,1.73,33.90%,"$21,427,700,000,000 ",78.5,14.70%,328239523,None,USD,"Washington, D.C."
Uruguay,82.60%,176215,22000,598,1.97,10.70%,"$56,045,912,952 ",77.8,8.73%,3461734,Spanish,UYU,Montevideo
Uzbekistan,62.90%,447400,68000,998,2.42,7.50%,"$57,921,286,440 ",71.6,5.92%,33580650,Uzbek,UZS,Tashkent
Vanuatu,15.30%,12189,,678,3.78,36.10%,"$917,058,851 ",70.3,4.39%,299882,French,VUV,Port Vila
Venezuela,24.50%,912050,343000,58,2.27,52.70%,"$482,359,318,768 ",72.1,8.80%,28515829,Spanish,VED,Caracas
Vietnam,39.30%,331210,522000,84,2.05,48.10%,"$261,921,244,843 ",75.3,2.01%,96462106,Vietnamese,VND,Hanoi
Yemen,44.60%,527968,40000,967,3.79,1.00%,"$26,914,402,224 ",66.1,12.91%,29161922,Arabic,YER,Sanaa
Zambia,32.10%,752618,16000,260,4.63,65.20%,"$23,064,722,446 ",63.5,11.43%,17861030,English,ZMW,Lusaka
Zimbabwe,41.90%,390757,51000,263,3.62,35.50%,"$21,440,758,800 ",61.2,4.95%,14645468,Shona,,Harare
